user,location,tweet,Date,Tweet Coordinates
SurajRai0889,Mumbai,"RT @WIONews: #Gravitas | Navies of India, Australia, Japan and the US are participating in the Malabar Exercise. China's state mouthpiece @…",2020-11-22 12:09:42,
SurajRai0889,Mumbai,"RT @sneheshphilip: The beauty one sees when #Quad countries -  India, US, Australia and Japan - come together in the North Arabian Sea/West…",2020-11-22 12:03:28,
RaiAtulRai,New Delhi,"It appears to be part of process (rightly so) to complete and further strengthen 'Indo-Pacific' Region, where… https://t.co/FXbt1Ngq88",2020-11-22 11:26:05,
Dsrao72240552,,"RT @rajatpTOI: So, after #Quad exercise #Malabar, Indian Navy conducts trilateral exercise #SITMEX with Singapore and Thailand. Indian wars…",2020-11-22 11:24:01,
PeebsTag,,6pm... WARZONE QUADS TOURNEY!!! With @zaptosemedia and the daselsavon clan! Come along and support!! Check out what… https://t.co/Gwu0M0HbcX,2020-11-22 11:03:03,
abgupta1508,,"RT @rajatpTOI: So, after #Quad exercise #Malabar, Indian Navy conducts trilateral exercise #SITMEX with Singapore and Thailand. Indian wars…",2020-11-22 11:02:06,
syedmohdmurtaza,"New Delhi, India","RT @rajatpTOI: So, after #Quad exercise #Malabar, Indian Navy conducts trilateral exercise #SITMEX with Singapore and Thailand. Indian wars…",2020-11-22 09:24:49,
A31X64Vijay,INDIA. (Bharat),RT @sreeramchaulia: The progress of the #Quad is a milestone in India's proactive #diplomacy under @narendramodi. Here is my essay in 'The…,2020-11-22 08:08:02,
EsportsTweeter,United States,"RT @Oracle1Official: Oracle Skull makes the MP5 look cracked! -
#COD #callofdutycoldwar #mp5 #SND #streaks #feed #killfeed #cod #esports #g…",2020-11-22 07:34:52,
Oracle1Official,Classified.,"Oracle Skull makes the MP5 look cracked! -
#COD #callofdutycoldwar #mp5 #SND #streaks #feed #killfeed #cod #esports… https://t.co/djl9Jll91X",2020-11-22 07:32:07,
uyfgn,,"#QUAD 🇺🇸🇭🇲🇯🇵🇮🇳 #Malabar2020 
Indian aircraft carrier
(INS VIKRAMADITYA)
USA aircraft carrier 
(USS NIMITZ) https://t.co/IAtVHlisbj",2020-11-22 07:20:24,
R8WingHawk,,@imjosh007 @TibetPeople @WhiteHouse @MFA_China @XHNews @Chinamission2un @China_Amb_India @AlJazeera_World… https://t.co/dpxqxcGEz8,2020-11-22 07:01:38,
macresslernews,"Palmdale, CA","RT @livefist: JUST IN: First photos just in from Phase 2 of #Malabar2020, with the USS Nimitz &amp; INS Vikramaditya carrier battle groups &amp; sh…",2020-11-22 04:47:41,
rjayal,,"RT @rajatpTOI: So, after #Quad exercise #Malabar, Indian Navy conducts trilateral exercise #SITMEX with Singapore and Thailand. Indian wars…",2020-11-22 04:45:36,
BasuPushon,Kolkata,"RT @rajatpTOI: So, after #Quad exercise #Malabar, Indian Navy conducts trilateral exercise #SITMEX with Singapore and Thailand. Indian wars…",2020-11-22 04:40:39,
Sakht_Hindu,Ayodhya ,"RT @rajatpTOI: So, after #Quad exercise #Malabar, Indian Navy conducts trilateral exercise #SITMEX with Singapore and Thailand. Indian wars…",2020-11-22 04:37:36,
DrIanHall,Brisbane,"RT @rajatpTOI: So, after #Quad exercise #Malabar, Indian Navy conducts trilateral exercise #SITMEX with Singapore and Thailand. Indian wars…",2020-11-22 04:35:15,
rajatpTOI,"New Delhi, India","So, after #Quad exercise #Malabar, Indian Navy conducts trilateral exercise #SITMEX with Singapore and Thailand. In… https://t.co/LLvWFmzrfY",2020-11-22 04:32:17,
KrellerClyde,,"RT @livefist: JUST IN: First photos just in from Phase 2 of #Malabar2020, with the USS Nimitz &amp; INS Vikramaditya carrier battle groups &amp; sh…",2020-11-22 02:30:43,
